City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
206,Melilla,ES,2022-06-06 00:30:46,35.2937,-2.9383,70.18,78,0,2.3
207,Chokurdakh,RU,2022-06-06 00:30:46,70.6333,147.9167,54.14,32,0,10.45
208,North Bend,US,2022-06-06 00:29:55,43.4065,-124.2243,64.24,91,100,11.5
209,Cidreira,BR,2022-06-06 00:30:47,-30.1811,-50.2056,62.49,97,100,9.33
210,Ulaanbaatar,MN,2022-06-06 00:30:47,47.9077,106.8832,55.53,58,40,11.18
211,Beroroha,MG,2022-06-06 00:30:47,-21.6667,45.1667,62.17,87,0,3.04
212,Bima,ID,2022-06-06 00:30:48,-8.4667,118.7167,83.61,72,16,3.47
213,Paita,PE,2022-06-06 00:30:48,-5.0892,-81.1144,65.41,86,100,12.93
214,Shimoda,JP,2022-06-06 00:30:48,34.6667,138.95,62.96,93,100,25.39
215,Barrow,US,2022-06-06 00:30:49,71.2906,-156.7887,28.42,86,100,23.02
216,Surt,LY,2022-06-06 00:30:49,31.2089,16.5887,74.61,73,0,6.96
217,Solnechnyy,RU,2022-06-06 00:30:49,50.7214,136.6319,67.98,39,9,4.76
218,Hirara,JP,2022-06-06 00:30:50,24.8,125.2833,86.27,79,75,20.71
219,Sur,OM,2022-06-06 00:30:51,22.5667,59.5289,86.14,52,0,8.23
220,Cabo San Lucas,MX,2022-06-06 00:30:36,22.8909,-109.9124,90.61,30,0,11.5
221,Korla,CN,2022-06-06 00:30:51,41.7597,86.1469,75.47,12,0,15.26
222,Trinidad,BO,2022-06-06 00:30:52,-14.8333,-64.9,73.81,78,100,3.11
223,Kruisfontein,ZA,2022-06-06 00:30:52,-34.0033,24.7314,49.89,80,6,5.64
224,Mabaruma,GY,2022-06-06 00:30:52,8.2,-59.7833,71.69,99,100,2.01
225,Aquiraz,BR,2022-06-06 00:30:53,-3.9014,-38.3911,77.09,89,100,8.99
226,Sucua,EC,2022-06-06 00:30:53,-2.4667,-78.1667,68.13,98,98,1.92
227,Puerto Ayora,EC,2022-06-06 00:30:53,-0.7393,-90.3518,71.55,95,100,7.0
228,Nisia Floresta,BR,2022-06-06 00:30:54,-6.0911,-35.2086,80.98,88,4,7.76
229,Pula,HR,2022-06-06 00:30:54,44.8683,13.8481,64.96,88,0,3.44
230,Kavieng,PG,2022-06-06 00:30:54,-2.5744,150.7967,84.06,67,14,4.27
231,Plouzane,FR,2022-06-06 00:28:54,48.3833,-4.6167,55.58,88,20,9.22
232,Mar Del Plata,AR,2022-06-06 00:30:04,-38.0023,-57.5575,49.08,92,100,3.44
233,Katobu,ID,2022-06-06 00:31:55,-4.9408,122.5276,81.37,80,93,2.8
234,Namibe,AO,2022-06-06 00:31:56,-15.1961,12.1522,71.64,47,72,2.68
235,Bethel,US,2022-06-06 00:31:56,41.3712,-73.414,68.85,64,30,1.14
236,Mareeba,AU,2022-06-06 00:31:56,-17.0,145.4333,81.66,80,100,2.48
237,Itoman,JP,2022-06-06 00:31:57,26.1247,127.6694,82.42,89,75,18.41
238,Rocha,UY,2022-06-06 00:31:57,-34.4833,-54.3333,50.68,96,94,5.3
239,Maloyaroslavets,RU,2022-06-06 00:31:57,55.0146,36.4719,46.72,97,4,5.61
240,Kamiiso,JP,2022-06-06 00:31:58,41.8167,140.65,53.98,76,75,17.27
241,Olga,RU,2022-06-06 00:31:58,43.7444,135.2892,47.98,82,100,14.32
242,High Level,CA,2022-06-06 00:31:58,58.5169,-117.136,78.91,24,75,13.8
243,Aravete,EE,2022-06-06 00:31:59,59.1403,25.7485,44.64,97,18,4.29
